 run               vos_r            
 0.0000000000e+00  1.2548800000e-02 
 1.0000000000e+00  1.5136700000e-03 
 2.0000000000e+00 -1.6259800000e-02 
 3.0000000000e+00  6.1035200000e-03 
 4.0000000000e+00  5.3710900000e-04 
 5.0000000000e+00  3.4668000000e-03 
 6.0000000000e+00 -4.8339800000e-03 
 7.0000000000e+00  2.5048800000e-02 
 8.0000000000e+00 -1.2646500000e-02 
 9.0000000000e+00 -8.2519500000e-03 
 1.0000000000e+01  1.8798800000e-02 
 1.1000000000e+01 -3.4179700000e-04 
 1.2000000000e+01  1.1230500000e-03 
 1.3000000000e+01 -1.2548800000e-02 
 1.4000000000e+01 -2.6611300000e-02 
 1.5000000000e+01 -2.0996100000e-03 
 1.6000000000e+01  3.7548800000e-02 
 1.7000000000e+01  4.3945300000e-04 
 1.8000000000e+01  2.6855500000e-03 
 1.9000000000e+01  1.0253900000e-03 
 2.0000000000e+01 -2.5439500000e-02 
 2.1000000000e+01 -9.6191400000e-03 
 2.2000000000e+01  1.3134800000e-02 
 2.3000000000e+01 -1.9043000000e-03 
 2.4000000000e+01  7.2753900000e-03 
 2.5000000000e+01 -1.7236300000e-02 
 2.6000000000e+01  1.2744100000e-02 
 2.7000000000e+01  2.5830100000e-02 
 2.8000000000e+01 -8.3007800000e-04 
 2.9000000000e+01 -2.5048800000e-02 
 3.0000000000e+01 -7.3242200000e-04 
 3.1000000000e+01  8.8378900000e-03 
 3.2000000000e+01  1.0253900000e-03 
 3.3000000000e+01 -1.3330100000e-02 
 3.4000000000e+01  2.5048800000e-02 
 3.5000000000e+01  9.4238300000e-03 
 3.6000000000e+01  2.3925800000e-03 
 3.7000000000e+01 -9.4238300000e-03 
 3.8000000000e+01  2.4414100000e-04 
 3.9000000000e+01 -1.3330100000e-02 
 4.0000000000e+01  3.1738300000e-03 
 4.1000000000e+01  1.7431600000e-02 
 4.2000000000e+01 -7.0800800000e-03 
 4.3000000000e+01 -2.0996100000e-03 
 4.4000000000e+01 -9.4238300000e-03 
 4.5000000000e+01  1.4111300000e-02 
 4.6000000000e+01 -1.4160200000e-03 
 4.7000000000e+01  9.7168000000e-03 
 4.8000000000e+01  1.4502000000e-02 
 4.9000000000e+01 -2.5244100000e-02 
 5.0000000000e+01 -1.6552700000e-02 
 5.1000000000e+01  5.9082000000e-03 
 5.2000000000e+01 -1.5136700000e-03 
 5.3000000000e+01 -1.2548800000e-02 
 5.4000000000e+01  1.2548800000e-02 
 5.5000000000e+01  1.9970700000e-02 
 5.6000000000e+01 -6.2988300000e-03 
 5.7000000000e+01 -1.1230500000e-03 
 5.8000000000e+01 -7.7636700000e-03 
 5.9000000000e+01  1.2548800000e-02 
 6.0000000000e+01  5.8105500000e-03 
 6.1000000000e+01  1.3525400000e-02 
 6.2000000000e+01 -1.8066400000e-03 
 6.3000000000e+01  2.5048800000e-02 
 6.4000000000e+01 -9.4238300000e-03 
 6.5000000000e+01  3.7597700000e-03 
 6.6000000000e+01  2.0996100000e-03 
 6.7000000000e+01  9.4238300000e-03 
 6.8000000000e+01  3.6621100000e-03 
 6.9000000000e+01  2.0019500000e-03 
 7.0000000000e+01 -2.5048800000e-02 
 7.1000000000e+01 -1.5673800000e-02 
 7.2000000000e+01  1.2646500000e-02 
 7.3000000000e+01 -6.7871100000e-03 
 7.4000000000e+01 -1.5136700000e-03 
 7.5000000000e+01  2.5048800000e-02 
 7.6000000000e+01  2.5048800000e-02 
 7.7000000000e+01  5.4199200000e-03 
 7.8000000000e+01 -4.8828100000e-05 
 7.9000000000e+01 -1.4404300000e-02 
 8.0000000000e+01 -2.5048800000e-02 
 8.1000000000e+01 -6.5918000000e-03 
 8.2000000000e+01 -5.5175800000e-03 
 8.3000000000e+01  6.3964800000e-03 
 8.4000000000e+01  1.4648400000e-04 
 8.5000000000e+01 -6.3476600000e-04 
 8.6000000000e+01 -2.5048800000e-02 
 8.7000000000e+01 -1.5673800000e-02 
 8.8000000000e+01  9.8144500000e-03 
 8.9000000000e+01 -1.4160200000e-03 
 9.0000000000e+01 -1.0791000000e-02 
 9.1000000000e+01 -7.7636700000e-03 
 9.2000000000e+01 -6.0058600000e-03 
 9.3000000000e+01 -6.6894500000e-03 
 9.4000000000e+01 -1.0400400000e-02 
 9.5000000000e+01  4.1503900000e-03 
 9.6000000000e+01  5.3710900000e-04 
 9.7000000000e+01  3.4179700000e-04 
 9.8000000000e+01  2.2705100000e-02 
 9.9000000000e+01  3.7548800000e-02 
