 time            v(BL)           v(BLB)          v(SE)           v(OUT)         
 0.00000000e+00  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084111e-08 
 1.00000000e-15  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084112e-08 
 2.00000000e-15  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084114e-08 
 4.00000000e-15  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084119e-08 
 8.00000000e-15  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084108e-08 
 1.60000000e-14  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084109e-08 
 3.20000000e-14  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084102e-08 
 6.40000000e-14  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084111e-08 
 1.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084122e-08 
 2.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084128e-08 
 3.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084125e-08 
 4.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084122e-08 
 5.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084118e-08 
 6.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084106e-08 
 7.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084105e-08 
 8.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084107e-08 
 9.28000000e-13  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084115e-08 
 1.02800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084121e-08 
 1.12800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084120e-08 
 1.22800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084118e-08 
 1.32800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084115e-08 
 1.42800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084121e-08 
 1.52800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084113e-08 
 1.62800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084103e-08 
 1.72800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084112e-08 
 1.82800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084124e-08 
 1.92800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084123e-08 
 2.02800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084129e-08 
 2.12800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084130e-08 
 2.22800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084121e-08 
 2.32800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084121e-08 
 2.42800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084128e-08 
 2.52800000e-12  1.20000000e+00  1.18000000e+00  0.00000000e+00  3.20084126e-08 
