 time            v(BL)           v(BLB)          v(WL)           v(WE)           v(PRE_N)        v(Din)          v(q)            v(qbar)        
 0.00000000e+00  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  1.00000000e+00 
 1.00000000e-12  1.19999945e+00  1.20000007e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  7.31363482e-03  1.02031508e+00 
 2.00000000e-12  1.19999944e+00  1.20000005e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.22645088e-02  1.03690257e+00 
 4.00000000e-12  1.19999940e+00  1.20000002e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.85773460e-02  1.06588228e+00 
 8.00000000e-12  1.19999937e+00  1.19999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.89020548e-02  1.10685275e+00 
 1.60000000e-11  1.19999938e+00  1.19999994e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.00051255e-02  1.15449218e+00 
 3.20000000e-11  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.39359191e-03  1.19198934e+00 
 6.40000000e-11  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -1.45477226e-04  1.20157383e+00 
 1.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.49284066e-05  1.19918289e+00 
 2.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  2.63496815e-05  1.20055073e+00 
 3.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -4.97100522e-05  1.19962377e+00 
 4.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  6.21988639e-05  1.20026367e+00 
 5.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -6.74574147e-05  1.19981063e+00 
 6.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  6.87628514e-05  1.20014014e+00 
 7.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -6.73289470e-05  1.19989263e+00 
 8.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  6.46252006e-05  1.20008485e+00 
 9.28000000e-10  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -6.10229761e-05  1.19993043e+00 
 1.02800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  5.71979629e-05  1.20005844e+00 
 1.12800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -5.31906217e-05  1.19994932e+00 
 1.22800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  4.93523939e-05  1.20004455e+00 
 1.32800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -4.55871165e-05  1.19995986e+00 
 1.42800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  4.21194181e-05  1.20003631e+00 
 1.52800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -3.87963168e-05  1.19996651e+00 
 1.62800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  3.57955728e-05  1.20003081e+00 
 1.72800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -3.29410348e-05  1.19997117e+00 
 1.82800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  3.03952386e-05  1.20002678e+00 
 1.92800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -2.79730656e-05  1.19997470e+00 
 2.02800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  2.58339965e-05  1.20002364e+00 
 2.12800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -2.37898605e-05  1.19997752e+00 
 2.22800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  2.20014883e-05  1.20002110e+00 
 2.32800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -2.02800516e-05  1.19997981e+00 
 2.42800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.87890842e-05  1.20001901e+00 
 2.52800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -1.73400141e-05  1.19998172e+00 
 2.62800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.60992680e-05  1.20001727e+00 
 2.72800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -1.48788311e-05  1.19998331e+00 
 2.82800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.38478016e-05  1.20001581e+00 
 2.92800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -1.28187765e-05  1.19998465e+00 
 3.02800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.19631864e-05  1.20001459e+00 
 3.12800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -1.10942032e-05  1.19998578e+00 
 3.22800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.03852447e-05  1.20001355e+00 
 3.32800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -9.64999056e-06  1.19998673e+00 
 3.42800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  9.06353279e-06  1.20001267e+00 
 3.52800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -8.43998819e-06  1.19998754e+00 
 3.62800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  7.95585166e-06  1.20001193e+00 
 3.72800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -7.42561090e-06  1.19998823e+00 
 3.82800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  7.02693392e-06  1.20001129e+00 
 3.92800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -6.57462083e-06  1.19998882e+00 
 4.02800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  6.24731962e-06  1.20001075e+00 
 4.12800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -5.86009246e-06  1.19998932e+00 
 4.22800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  5.59240585e-06  1.20001028e+00 
 4.32800000e-09  1.19999939e+00  1.19999991e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -5.25954104e-06  1.19998975e+00 
